"COMPOUND","FTAG_R_spearman","FTAG_p","FTAG_adj","sig_FTAG"
"Tyrosine",0.0280247608364868,0.815231830394476,0.920443082188902,"NS"
"PEP",-0.0276710346526643,0.817523487205731,0.920443082188902,"NS"
"Reduced Glutathione",0.0264651499350874,0.825347317445484,0.920443082188902,"NS"
"Taurine",-0.0261114237512648,0.827645567128878,0.920443082188902,"NS"
"Ethanolamine",0.025612991401333,0.830886457975928,0.920443082188902,"NS"
"Cystathionine",0.0246965190159746,0.836852827539959,0.921534363660074,"NS"
"Fructose",0.0228474957823567,0.848917891907509,0.922969018610022,"NS"
"N-Ac-Phenylalanine",-0.0223169065066229,0.852386572264597,0.922969018610022,"NS"
"Indole-2-Carboxylic Acid",0.0222043572663157,0.853122714498993,0.922969018610022,"NS"
"FAD",0.0205965109762132,0.863652401401467,0.925205039924777,"NS"
"Ribose-5-P",0.0196800385908548,0.869665064736795,0.925205039924777,"NS"
"Riboflavin",-0.0195996462763496,0.870192848361682,0.925205039924777,"NS"
"UDP-Glucose",-0.0182168984668615,0.879279390274556,0.929523926861673,"NS"
"gamma-Aminobutyrate",-0.0150012058866565,0.900469157557701,0.946515875841902,"NS"
"Glucoronate",0.0135380657626632,0.910134436775764,0.951270456517041,"NS"
"Histidine",0.0110619824759053,0.926520013562783,0.962956193871432,"NS"
"Valine",0.00974354851802123,0.935257697094794,0.963867018313914,"NS"
"Oxidized Glutathione",0.00935766540839663,0.937816558359484,0.963867018313914,"NS"
"Pantothenate",0.00807138837631462,0.9463504898887,0.967264312869666,"NS"
"4-Hydroxybenzoic Acid",0.00656001286361826,0.95638548979191,0.968241350874806,"NS"
"Sarcosine",-0.00635099284590493,0.957773876811295,0.968241350874806,"NS"
"N-Ac-Arginine",0.00553099123795265,0.963221797540826,0.968456698614418,"NS"
"iso-Leucine /allo-isoLeucine",-0.000144706166109226,0.999037446191318,0.999037446191318,"NS"
