"COMPOUND","Fmass_R_spearman","Fmass_p","Fmass_adj","sig_Fmass"
"UMP",0.0690716371866247,0.737416212206007,0.862383884383237,"NS"
"Neopterin",-0.068045820792764,0.741183987118566,0.862383884383237,"NS"
"2-Aminoadipate",-0.0646264328132281,0.753784802896323,0.870918611936597,"NS"
"Glycerophosphocholine",0.062232861227553,0.762642243966101,0.870918611936597,"NS"
"Lactate",-0.062232861227553,0.762642243966101,0.870918611936597,"NS"
"Cystathionine",0.0594973508439243,0.772800712754914,0.877105103433492,"NS"
"Pipecolate",0.0499230645012238,0.808632988169529,0.90292579924777,"NS"
"Succinate",-0.0492391869053166,0.811207785190071,0.90292579924777,"NS"
"Cytidine",0.0488972481073631,0.812495902581431,0.90292579924777,"NS"
"N6-Trimethyllysine",-0.0482133705114559,0.81507355932096,0.90292579924777,"NS"
"DHAP/D-GA3P",-0.0413745945523841,0.840949038068366,0.926045071682427,"NS"
"Dimethylarginine (A/SDMA)",0.0382971453708018,0.852647353181709,0.933371362950391,"NS"
"2-Hydroxyglutarate",-0.0355616349871731,0.863071463634022,0.939224828072318,"NS"
"Leucine /D-Norleucine",0.0338519409974052,0.869597994411868,0.940793151849097,"NS"
"Niacinamide",0.0311164306137765,0.88005758835973,0.946573568875291,"NS"
"NADH",0.0276970426342406,0.89315947857385,0.954014533856229,"NS"
"Myristic Acid",0.0259873486444727,0.899720886923907,0.954014533856229,"NS"
"Deoxyguanosine",0.0239357158567511,0.907603015992953,0.954014533856229,"NS"
"Pyroglutamic Acid",-0.0239357158567511,0.907603015992953,0.954014533856229,"NS"
"DCDP",-0.0208582666751689,0.919441967960915,0.958428210714331,"NS"
"Guanine",-0.0198324502813081,0.923392125698582,0.958428210714331,"NS"
"3HBA",-0.0188066338874473,0.927344052529002,0.958428210714331,"NS"
"Phosphorylcholine",-0.011625919130422,0.955049431815948,0.978844399910142,"NS"
"Riboflavin",-0.0109420415345148,0.957691189396319,0.978844399910142,"NS"
"N6-Acetyl-Lysine",-0.00889040874679328,0.965618963558418,0.978844399910142,"NS"
"FAD",-0.00820653115088611,0.968262298289491,0.978844399910142,"NS"
"UDP-Glucose",0.00410326557544305,0.984128210175957,0.985450715871599,"NS"
"Lactose/Trehalose",-0.00376132677748947,0.985450715871599,0.985450715871599,"NS"
