"COMPOUND","FdeltaTAG_R_spearman","FdeltaTAG_p","FdeltaTAG_adj","sig_FdeltaTAG","Fdeltamass_R_spearman","Fdeltamass_p","Fdeltamass_adj","sig_Fdeltamass","MdeltaTAG_R_spearman","MdeltaTAG_p","MdeltaTAG_adj","sig_MdeltaTAG","Mdeltamass_R_spearman","Mdeltamass_p","Mdeltamass_adj","sig_Mdeltamass"
"Creatine",-0.355172413793103,0.0593454360638324,0.257141883377025,"NS",-0.222778008025552,0.284445010933664,0.53153004616672,"NS",0.219704433497537,0.251020159097414,0.488828730873911,"NS",0.332820340141801,0.104026949173431,0.481124639927119,"NS"
"Cystathionine",0.14679802955665,0.445662813037628,0.687063503433009,"NS",-0.078106969998596,0.710556579367133,0.838385468016145,"NS",-0.267487684729064,0.160274235585735,0.379049677192635,"NS",-0.424394029105672,0.0344765232976578,0.327367666340358,"NS"
"Cysteinyl-Glycine (Cys-Gly)",0.00640394088669951,0.974537630399399,0.996074373612646,"NS",0.242400941374953,0.243021458630015,0.484965395836159,"NS",-0.260591133004926,0.171645694398996,0.387249432485541,"NS",0.166217788371396,0.427144463871839,0.718379325602638,"NS"
"Cystine",-0.104433497536946,0.588420738489324,0.800425269268565,"NS",-0.181223560932703,0.385975551506387,0.615564457143807,"NS",-0.666009852216749,0.000118000078325953,0.00727667149676712,"SIG",-0.254328606744197,0.219884019659006,0.556551812934764,"NS"
"Cytidine",0.045320197044335,0.815199634347547,0.905264651752428,"NS",0.176606400144609,0.398394882903194,0.620650309991615,"NS",-0.296059113300493,0.118937513200178,0.328409551373625,"NS",-0.133512899455728,0.524615973751021,0.770269485269356,"NS"
"D-Leucic Acid",-0.446305418719212,0.0160473832584251,0.158750095252502,"NS",-0.115429019702359,0.582703836511824,0.72837979563978,"NS",0.113793103448276,0.555216997519225,0.735959663911414,"NS",0.343978478713029,0.0922465101186752,0.458618755021759,"NS"
"DCDP",0.445812807881773,0.0161752973284686,0.158750095252502,"NS",0.0430935006888806,0.837938579505142,0.893949832221752,"NS",-0.192118226600985,0.316628908144431,0.523003107202854,"NS",-0.3131974067924,0.127392556805516,0.489834817144635,"NS"
"Deoxycarnitine",-0.152216748768473,0.428882812913962,0.672401020246465,"NS",-0.225471351818607,0.278510821732336,0.525760224698798,"NS",-0.373891625615764,0.0465044610996077,0.187028810944075,"NS",-0.544055446197117,0.0049327527831523,0.194085171424349,"NS"
"Deoxyguanosine",-0.038423645320197,0.843090698294562,0.92840344752675,"NS",-0.0561754562551479,0.789694126183868,0.875814915489742,"NS",0.0807881773399015,0.675961993123062,0.844952491403828,"NS",0.0303963085216211,0.885316026364212,0.960091818286567,"NS"
"DHAP/D-GA3P",-0.388177339901478,0.0382926480589752,0.206282695636398,"NS",-0.05579069285614,0.791103299212373,0.875814915489742,"NS",-0.611330049261084,0.000554167131565143,0.0256302298348879,"SIG",-0.29165065644796,0.157195201410945,0.513921831151361,"NS"
