"COMPOUND","Mdeltamass_R_spearman","Mdeltamass_p","Mdeltamass_adj","sig_Mdeltamass"
"Arabitol/Xylitol",0.0454020810829277,0.829378237511528,0.937187073911244,"NS"
"Xanthosine",0.0450173176839199,0.830803676332129,0.937187073911244,"NS"
"N-Ac-Alanine",-0.0365525229057469,0.862287195966543,0.960091818286567,"NS"
"Uracil",0.0353982327087233,0.866597359653899,0.960091818286567,"NS"
"Indole-3-Carboxylic Acid",0.0338591791126919,0.872349986866536,0.960091818286567,"NS"
"Aspartic Acid",-0.0303963085216211,0.885316026364212,0.960091818286567,"NS"
"Deoxyguanosine",0.0303963085216211,0.885316026364212,0.960091818286567,"NS"
"N-Acetyl-Aspartate (NAA)",0.0303963085216211,0.885316026364212,0.960091818286567,"NS"
"Glucose",-0.0277029647285661,0.895420743199487,0.960091818286567,"NS"
"Orotate",-0.0277029647285661,0.895420743199487,0.960091818286567,"NS"
"Uridine",-0.0242400941374953,0.908435609743979,0.960091818286567,"NS"
"Guanine",0.0242400941374953,0.908435609743979,0.960091818286567,"NS"
"Alanine",-0.022316277142456,0.915676226663127,0.960091818286567,"NS"
"1-Methyladenosine",0.0219315137434481,0.91712515200461,0.960091818286567,"NS"
"4-Pyridoxic Acid",0.0215467503444403,0.918574334252553,0.960091818286567,"NS"
"Sarcosine",-0.013851482364283,0.947605035833553,0.982960303484352,"NS"
"Pyruvate",-0.0123124287682516,0.953420136643651,0.982960303484352,"NS"
"Sedoheptulose 7-Phosphate",0.011158138571228,0.957782997160921,0.982960303484352,"NS"
"Choline",-0.00961908497519656,0.96360195955198,0.982960303484352,"NS"
"Tryptophan",-0.00846479477817297,0.967967384637947,0.982960303484352,"NS"
"Phosphorylcholine",-0.00731050458114938,0.972333705608845,0.982960303484352,"NS"
"Phosphotyrosine",0.00500192418710221,0.981068547017622,0.986400441294892,"NS"
"Ornithine",0.00230858039404717,0.991261804173021,0.991261804173021,"NS"
