"COMPOUND","FdeltaTAG_R_spearman","FdeltaTAG_p","FdeltaTAG_adj","sig_FdeltaTAG"
"Citrulline",0.0236453201970443,0.903454337455028,0.967922845121244,"NS"
"Indole-2-Carboxylic Acid",0.0231527093596059,0.905477633269106,0.967922845121244,"NS"
"Acetylcholine",0.0226600985221675,0.907501517694866,0.967922845121244,"NS"
"Hypoxanthine",-0.0211822660098522,0.913576577575341,0.967922845121244,"NS"
"Lactose/Trehalose",0.0206896551724138,0.915602691330906,0.967922845121244,"NS"
"Putrescine",-0.0133004926108374,0.946050474396856,0.993059970693179,"NS"
"Nicotinic Acid",0.0123152709359606,0.950116836825366,0.993059970693179,"NS"
"Palmitic Acid",-0.00935960591133005,0.96232299587074,0.996074373612646,"NS"
"Xanthine",0.0083743842364532,0.966393734486744,0.996074373612646,"NS"
"Niacinamide",0.00738916256157635,0.970465313229021,0.996074373612646,"NS"
"Cysteinyl-Glycine (Cys-Gly)",0.00640394088669951,0.974537630399399,0.996074373612646,"NS"
"3HBA",0.00492610837438424,0.980647268115816,0.996811783524319,"NS"
"5-Methylcytidine",-0.00246305418719212,0.990832247717226,0.996944025245762,"NS"
"Glucose",0.00197044334975369,0.992869466552958,0.996944025245762,"NS"
"Reduced Glutathione",-0.000985221674876847,0.996944025245762,0.996944025245762,"NS"
