"COMPOUND","Fmass_R_spearman","Fmass_p","Fmass_adj","sig_Fmass"
"Riboflavin",-0.0233098640232894,0.864598154248559,0.908810559863542,"NS"
"Lactose/Trehalose",0.0204730330644433,0.880948985521468,0.920765888821873,"NS"
"Glycerophosphocholine",0.0184223118893739,0.892800059748961,0.924565708773952,"NS"
"Neopterin",0.0181147037131135,0.894579793894797,0.924565708773952,"NS"
"Dimethylarginine (A/SDMA)",0.0135689384417095,0.920935829672643,0.94331730956395,"NS"
"UDP-Glucose",-0.0132271515791979,0.922921259627433,0.94331730956395,"NS"
"Lactate",0.0108688222278681,0.936632809439689,0.952071811793091,"NS"
"Palmitic Acid",0.00840795681778474,0.950959952446827,0.961352957391601,"NS"
"DCDP",0.00492173082016668,0.9712820705696,0.97656077747487,"NS"
"2-Hydroxyglutarate",-0.00239250803758102,0.986037657258435,0.986037657258435,"NS"
