"COMPOUND","MTAG_R_spearman","MTAG_p","MTAG_adj","sig_MTAG"
"N6-Acetyl-Lysine",-0.0411877395948138,0.740695774579828,0.911688697373292,"NS"
"Urate",0.0400502874839105,0.747615174755564,0.911688697373292,"NS"
"cAMP",-0.0391522989753027,0.753091954621485,0.911688697373292,"NS"
"Ethanolamine",0.0381146233653558,0.759435809836432,0.911688697373292,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",0.0377753832621039,0.761513219441329,0.911688697373292,"NS"
"Choline",0.0375558749599998,0.762858321878983,0.911688697373292,"NS"
"Hypotaurine",0.0336645914226991,0.786815990930573,0.911688697373292,"NS"
"Succinate",-0.0334849937209775,0.787926691934849,0.911688697373292,"NS"
"Sucrose",0.0329462006158128,0.791261314708065,0.911688697373292,"NS"
"Linoleic Acid",0.0326269158127522,0.79323915374372,0.911688697373292,"NS"
"Oxalacetate",0.0324672734112219,0.794228561446061,0.911688697373292,"NS"
"Alanine",0.0313497766005099,0.801163389143761,0.911688697373292,"NS"
"Palmitic Acid",0.0311302682984058,0.802527405904317,0.911688697373292,"NS"
"Glutamine",0.0310304917974494,0.803147608106626,0.911688697373292,"NS"
"PEP",-0.0310105364972581,0.803271663091063,0.911688697373292,"NS"
"Guanosine",0.0235272989255259,0.850107538017182,0.956099747001899,"NS"
"Pantothenate",0.0222900703136662,0.857905718931434,0.956099747001899,"NS"
"Pseudouridine",0.0222900703136662,0.857905718931434,0.956099747001899,"NS"
"SAH",-0.0207136015985546,0.86786167093166,0.959286806717593,"NS"
"5,6-Dihydrouracil",0.0197757024895642,0.873794661153013,0.959286806717593,"NS"
"Arabitol/Xylitol",-0.0193765964857385,0.876321461271747,0.959286806717593,"NS"
"N-Ac-Phenylalanine",0.0160440613537938,0.897465949887909,0.976083067029299,"NS"
"Adenylosuccinate",-0.0143478608375345,0.908256436308641,0.976083067029299,"NS"
"S-Methylcysteine",-0.0142680396367693,0.908764647019643,0.976083067029299,"NS"
"Taurine",0.0135097382295005,0.913594439372692,0.976083067029299,"NS"
"1-Methylnicotinamide",0.0128113027228055,0.918045695476206,0.976083067029299,"NS"
"Homoarginine",-0.0110951469063549,0.928993450186618,0.977472170726313,"NS"
"3-Hydroxyisovaleric Acid",-0.0102171136979383,0.934599836049875,0.977472170726313,"NS"
"4-Hydroxybenzoic Acid",-0.00947876759086074,0.939316761472317,0.977472170726313,"NS"
"Dimethylarginine (A/SDMA)",0.00890006388531345,0.943015273548057,0.977472170726313,"NS"
"Cadaverine",0.00776261177441016,0.950288188303004,0.977472170726313,"NS"
"L-2-Aminobutyric Acid",-0.00764287997326245,0.951054003949926,0.977472170726313,"NS"
"DHAP/D-GA3P",0.0061661877591073,0.960502479831282,0.981729053971199,"NS"
"Margaric Acid",0.00526819925049944,0.96625090839846,0.982178121174259,"NS"
"Xanthosine",0.00141682631358129,0.99092108599494,0.996291646058913,"NS"
"Tyrosine",0.000977809709373002,0.993734201452439,0.996291646058913,"NS"
"Glycerophosphocholine",-0.000578703705547287,0.996291646058913,0.996291646058913,"NS"
