"COMPOUND","FrTAG_R_spearman","FrTAG_p","FrTAG_adj","sig_FrTAG"
"2'-Deoxycytidine",0.0105982905982906,0.960035262047311,0.99733462496961,"NS"
"3-Hydroxyisovaleric Acid",0.00991452991452991,0.962697658732127,0.99733462496961,"NS"
"2-Aminoadipate",-0.00923076923076923,0.965360452349074,0.99733462496961,"NS"
"5,6-Dihydrouracil",-0.00581196581196581,0.978679383457699,0.99733462496961,"NS"
"Acetylcarnitine",0.00444444444444444,0.984008743068034,0.99733462496961,"NS"
"UDP-Glucose",0.00444444444444444,0.984008743068034,0.99733462496961,"NS"
"N-AcetylGlycine",-0.00376068376068376,0.986673692429052,0.99733462496961,"NS"
"Uridine",-0.00376068376068376,0.986673692429052,0.99733462496961,"NS"
"cGMP",-0.00307692307692308,0.98933878367277,0.99733462496961,"NS"
"Betaine",0.00239316239316239,0.992003988427753,0.99733462496961,"NS"
"Serine",-0.00170940170940171,0.994669278319163,0.99733462496961,"NS"
"S-Adenosylmethionine (SAM)",-0.00102564102564103,0.99733462496961,0.99733462496961,"NS"
