"COMPOUND","Mmass_R_spearman","Mmass_p","Mmass_adj","sig_Mmass"
"Glucosamine",0.0332668002815372,0.813063032654829,0.91250861953551,"NS"
"Pantothenate",-0.0332264768872565,0.813285561299809,0.91250861953551,"NS"
"Orotate",-0.0327829195501694,0.81573433798829,0.91250861953551,"NS"
"Cholecalciferol",0.0320974218473983,0.819522239831026,0.91250861953551,"NS"
"Succinylcarnitine",0.0310086902018207,0.825546692683302,0.91250861953551,"NS"
"Carnitine",0.0309683668075401,0.825770014361645,0.91250861953551,"NS"
"Margaric Acid",0.0293957544305947,0.834490060574922,0.91250861953551,"NS"
"Spermidine",-0.0292344608534721,0.83538556053597,0.91250861953551,"NS"
"Phenylacetic Acid",0.028669933333543,0.838521434167766,0.91250861953551,"NS"
"n-Glycylproline",0.0273795847165621,0.845698419491584,0.914936886584462,"NS"
"Hypotaurine",-0.0245569471169165,0.86144067694169,0.918769858520754,"NS"
"Thiamine",-0.0241133897798294,0.863919485477412,0.918769858520754,"NS"
"Arabitol/Xylitol",-0.023468215471339,0.867527339904984,0.918769858520754,"NS"
"Sorbitol",-0.0231859517113744,0.869106622925037,0.918769858520754,"NS"
"S-Adenosylmethionine (SAM)",0.0175003531178026,0.901017605093367,0.947092368990187,"NS"
"Acetylcarnitine",-0.016532591655067,0.906466174227015,0.947436396790948,"NS"
"SAH",0.0149599792781216,0.915329105718969,0.951325194146119,"NS"
"betaAlanine",0.011209903610021,0.936503067430251,0.967894231701656,"NS"
"o-Phosphoethanolamine",-0.00850823619321739,0.951785325909625,0.969330199263569,"NS"
"Allantoin",-0.00826629582753348,0.953154807337661,0.969330199263569,"NS"
"D-Leucic Acid",0.00818564903897218,0.953611331167403,0.969330199263569,"NS"
"Creatine",-0.00616947932493963,0.965028849343906,0.975575612724714,"NS"
"3-(4-Hydroxyphenyl)Propionate",-0.00391136924522316,0.977824626184378,0.983138890457119,"NS"
"cAMP",0.0018951995311906,0.989254203973079,0.989254203973079,"NS"
