"COMPOUND","FTAG_R_spearman","FTAG_p","FTAG_adj","sig_FTAG","Fmass_R_spearman","Fmass_p","Fmass_adj","sig_Fmass","FrTAG_R_spearman","FrTAG_p","FrTAG_adj","sig_FrTAG","MTAG_R_spearman","MTAG_p","MTAG_adj","sig_MTAG","Mmass_R_spearman","Mmass_p","Mmass_adj","sig_Mmass","MrTAG_R_spearman","MrTAG_p","MrTAG_adj","sig_MrTAG"
"3-(4-Hydroxyphenyl)Propionate",-0.460098522167488,0.0127945291434434,0.0986244954807095,"NS",-0.461617377237344,0.0176028087942911,0.130260785077754,"NS",-0.0926495726495726,0.651499705625802,0.950988505455357,"NS",-0.067487684729064,0.727217591434392,0.988372320768644,"NS",0.068741454088473,0.73862831931317,0.914187565604381,"NS",-0.156239316239316,0.444228210823164,0.917973403761328,"NS"
"3-Aminoisobutyrate",0.47487684729064,0.00994415434945252,0.0923766424971528,"NS",0.261241241636541,0.197368556312927,0.429566857857548,"NS",0.231452991452991,0.254091586979424,0.941650479255857,"NS",0.12512315270936,0.516238403980682,0.988372320768644,"NS",0.130300965212479,0.525790601248352,0.842044129075084,"NS",0.0892307692307692,0.663634051272084,0.942815774986025,"NS"
"3-Hydroxyisovaleric Acid",-0.298522167487685,0.115789858062351,0.303333095273365,"NS",-0.299880325805296,0.13664695401032,0.346332090484459,"NS",0.00991452991452991,0.962697658732127,0.99733462496961,"NS",-0.0428571428571429,0.825136836390499,0.988372320768644,"NS",0.152872785957947,0.455931037228217,0.842044129075084,"NS",-0.00239316239316239,0.992003988427752,0.997395314451816,"NS"
"3-Hydroxypropionic Acid",-0.317733990147783,0.093347974685627,0.281709607418732,"NS",-0.362455125830803,0.0688021976778558,0.231425574007333,"NS",0.103589743589744,0.613270016972005,0.943794608524953,"NS",0.0857142857142857,0.657323785713767,0.988372320768644,"NS",-0.465458303554287,0.0165644054741867,0.208814245892485,"NS",0.468034188034188,0.0168540592105818,0.711920682295963,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",0.314778325123153,0.0965642111147447,0.283561572321076,"NS",0.184305012096984,0.367422826727687,0.591071503866279,"NS",0.052991452991453,0.796906099424203,0.99733462496961,"NS",0.209852216748768,0.273317954408438,0.988372320768644,"NS",0.230848166715021,0.256535877371496,0.708345333040697,"NS",0.0222222222222222,0.914862603441188,0.97833756871677,"NS"
"3HBA",-0.0551724137931034,0.775749739734138,0.855635462078216,"NS",-0.0188066338874473,0.927344052529002,0.958428210714331,"NS",0.102905982905983,0.615631552304537,0.943794608524953,"NS",0.21871921182266,0.253193495163221,0.988372320768644,"NS",0.305745571915895,0.128769790531012,0.579323038904575,"NS",0.2,0.325751887435965,0.838384140173185,"NS"
"4-Guanidinobutanoate",-0.166502463054187,0.386374347483772,0.607318808282714,"NS",-0.196956747621267,0.334852775737998,0.575620119160607,"NS",0.23965811965812,0.237270266184272,0.941650479255857,"NS",-0.0926108374384236,0.631572009107788,0.988372320768644,"NS",-0.400820816874081,0.0424315158059778,0.313993216964235,"NS",0.212307692307692,0.296350708374373,0.818281806705357,"NS"
"4-Hydroxybenzoic Acid",0.0793103448275862,0.681591426154216,0.813512347345354,"NS",-0.154556336675022,0.450924743095182,0.666545735775983,"NS",0.145982905982906,0.475025225924408,0.943794608524953,"NS",0.0729064039408867,0.706179157772781,0.988372320768644,"NS",-0.295827650679249,0.142289273020087,0.579323038904575,"NS",0.291623931623932,0.148103056930607,0.711920682295963,"NS"
"4-Pyridoxic Acid",0.550246305418719,0.00232259825411405,0.08160898224072,"NS",0.422294415472681,0.0316287334871079,0.167180448431856,"NS",0.142564102564103,0.485533379359128,0.943794608524953,"NS",-0.14384236453202,0.454964429455096,0.988372320768644,"NS",0.076949388905007,0.708683948352514,0.892058589618196,"NS",-0.344273504273504,0.0855625851312437,0.711920682295963,"NS"
"5'-Methylthioadenosine",0.305418719211823,0.107309672703045,0.296302827612885,"NS",0.289622161866689,0.151250202030442,0.363393342540673,"NS",0.111111111111111,0.587549623492803,0.943794608524953,"NS",-0.00492610837438424,0.980647268115817,0.996811783524319,"NS",0.075581399768918,0.713646871694557,0.892058589618196,"NS",-0.0844444444444444,0.680763888461994,0.942815774986025,"NS"
"5-Methylcytidine",0.233004926108374,0.222898355392164,0.425115420077839,"NS",-0.0820653115088611,0.690227713084269,0.840079782372301,"NS",0.212307692307692,0.296350708374373,0.941650479255857,"NS",0.12807881773399,0.506298875745992,0.988372320768644,"NS",0.0318057474140696,0.877419976348374,0.95228824206608,"NS",0.368205128205128,0.0649723624871819,0.711920682295963,"NS"
"5,6-Dihydrouracil",0.38128078817734,0.0420962800288244,0.181111902449594,"NS",0.306719101764368,0.127494960954804,0.336950968237697,"NS",-0.00581196581196581,0.978679383457699,0.99733462496961,"NS",0.00541871921182266,0.978610584247344,0.996811783524319,"NS",0.161764715342526,0.429822489287338,0.842044129075084,"NS",-0.0837606837606838,0.683224129016616,0.942815774986025,"NS"
"6-Methyladenosine",-0.225615763546798,0.238242288374034,0.449743095399962,"NS",-0.131988376010085,0.520397171640015,0.718458781741811,"NS",-0.0297435897435897,0.885763699943415,0.99733462496961,"NS",0.0236453201970443,0.903454337455028,0.988372320768644,"NS",-0.187756508928217,0.358359814208679,0.83448258649606,"NS",0.0851282051282051,0.678306883851975,0.942815774986025,"NS"
