"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24"
"Adenine",0.0563937502343364,0.0762286335985453,-0.00886783185258734,-0.0666545908683129,0.0256379182840188,0.0968630989000659,0.00940914902560826,0.0430616162559834,0.00609041403980916,0.198223241708051,-0.0754945394419412,0.0519458540663678,0.10273930574428,-0.164141097149428,-0.0145675618368481,0.0872602045459533,-0.0861972138086254,-0.0840355232442106,-0.0088318789480597,-0.0703097905692731,-0.0385065299762603,-0.156878984435626,0.0989716364113607,-0.00686945841943506
"Adenosine",0.0679809484401566,0.0708142108720126,0.0757463850940266,-0.022586335652029,-0.0078271281631582,0.0516571691996479,-0.0142169847345996,0.0857206701170978,-0.0927146480820054,0.187769735938108,-0.086053955732,0.0446189795514572,0.0653108033907067,-0.158505233836869,0.0133723770451431,0.0706477760443347,-0.118931409432161,-0.0895022306498044,0.0435348242614673,-0.0484235892201398,-0.0971781591906226,-0.0608672018358443,0.126624105789483,-0.0291972253016108
"Adenylosuccinate",0.0642258511593783,-0.111176311372263,-0.0254429303093432,0.0724195057049404,-0.0635237243681055,0.0975151802070752,0.0421508334190861,0.0314792815813007,0.0291318887287986,0.0157063578958923,0.0296626698369363,0.00587528169681486,0.0553569203440786,0.012830063276046,-0.00483550851017255,-0.0207638772154752,-0.0190839084981731,0.0123092971502081,-0.048624248448335,-0.16361831828427,-0.0482811283678413,-0.0546785371272217,-0.121803523391733,-0.0885038001826254
"Adipic Acid / 3-Methylglutaric Acid",0.0727650953299063,0.142362693940767,0.0218373156780811,-0.0187100845622179,-0.125833285731583,-0.054116342529097,0.022245238691121,-0.0479925999230698,-0.0201089578705542,-0.0528778397354252,0.0301695286194843,0.0406563363668042,0.0213472432083611,0.0757255600575419,-0.0302728251107084,-0.0500398044309598,0.0612270883955734,-0.0634662376641624,-0.0794868097330865,0.0355702793764113,0.0254665343025336,-0.0987526226170198,0.0105307109997278,0.00640623591908637
"ADP",-0.0012505753771276,-0.113338638879285,0.151456531437977,0.00341927787198762,-0.0842674711894154,-0.0463884721006706,-0.104335212560403,0.0163984308527292,0.0312140112065958,0.135286508998758,0.00713974878061812,-0.00772272674856507,0.0844150966835728,-0.0424171982102604,0.0504109710487088,0.0141003942918715,0.080543640514462,0.0262501911799604,-0.0960863373592853,0.0220578293516372,0.0552917254458712,-0.0250606945887194,-0.0395150429134611,0.0286005841091716
"Agmatine",-0.0311039481466895,-0.119344063801688,-0.0363315470010661,0.0260591330042572,0.0591975571984059,0.00318159880651172,0.0338190585676042,-0.144271664376887,0.0191325935402773,0.0101838960767972,0.146123815155435,0.0305951873106311,0.0509057032928066,-0.0692345514365319,0.0960128792016655,-0.0414622471857111,-0.053269325066191,0.0666692198070064,0.0508457639682964,-0.021135034831626,-0.0814516661357014,-0.0568426956019492,-0.0982309710488735,-0.0580522252238787
"Alanine",0.103920492428815,-0.122126149865923,0.0174248894071165,0.0411904907791777,0.0335127722572088,-0.00385408665793076,0.0182044517790078,0.0212670965392478,0.0280201940657971,-0.0211054832753277,0.0211897088633868,0.0530734540860569,0.124237466517116,-0.00305509069414846,-0.0130852566339078,0.0678020274588539,0.051871122049405,-0.0682395017622803,0.0211492651418987,-0.0286462270431562,0.141251793443689,-0.112390101433198,-0.045989328196851,-0.00565286216100001
"Allantoin",0.0267022597664672,-0.0161502050002258,-0.0409869765124388,0.0570949591101397,0.0522075672507899,-0.00581745271624154,0.0795246847084778,-0.0257143082416946,-0.0454541385393877,0.00368136467720346,0.213652597383828,-0.0783998658345078,-0.00604882598716851,-0.0143781429522223,-0.00127383108508085,-0.0265610184081837,-0.113850206274408,0.0135200208274034,0.0384651672067275,0.0847081513880877,-0.134674898305462,0.00822353975522839,0.14183611898482,0.256402523013017
"Alpha-Ketoglutaric Acid",-0.0812257273200104,-0.0961745276844303,0.00939930807218288,0.0424754612558679,-0.0309420844849438,-0.0600561436125328,0.072925829123159,-0.00452814875684074,-0.159185510774538,-0.160947962151764,-0.102365656673319,0.00901470980040642,0.0900249142694986,0.00193223086800577,0.0480200877200941,-0.0491614725995049,-0.0230675429419345,-0.0483034162870441,0.0889698735425391,-0.000149938412525624,-0.0279494036867876,-0.104044994544975,0.028167560121968,-0.138558951023381
"Aminolevulinate",-0.0184515770679914,-0.0368723684155744,-0.0697603594102498,-0.034211848032015,-0.125339461827714,0.0386980868434659,-0.0773713449368252,0.0486591355789841,0.0625488052079553,0.20296592440454,-0.090807311258649,0.0226755853473857,-0.117407068741602,0.0638729679329674,-0.0234720439254894,-0.0296837663943889,-0.101275280317263,0.0430272145699587,0.105483798154541,-0.0684829126814054,0.191658933047286,-0.0966255339927949,0.0739827624490651,0.0339564201587493
