"","rowname","colname","p_M","R_M"
"238","2-Hydroxyphenylacetate","UDP-GlcNAc",1.36296790303694e-75,-0.678817733990148
"239","Citraconic Acid","Glutaric Acid",1.49877015302126e-75,0.757635467980295
"240","Maleic Acid","N-AcetylGlycine",2.23410737157319e-75,0.669458128078818
"241","3-Hydroxyisovaleric Acid","Glutaric Acid",3.54868493274948e-75,0.738423645320197
"242","Phenylacetic Acid","Pyridoxamine",4.70606354081771e-75,0.681773399014778
"243","PEP","Retinol",4.74101502196903e-75,-0.72167487684729
"244","Biopterin","Palmitic Acid",6.55598585488946e-75,0.6
"245","2-Hydroxyphenylacetate","3-Hydroxyisovaleric Acid",7.36516176584476e-75,0.737931034482758
"246","Ergocalciferol","S-Adenosylmethionine (SAM)",8.39271481801711e-75,-0.628571428571428
"247","Glycerol-3-P","N-Ac-Alanine",1.15853038124051e-74,-0.716256157635468
"248","Palmitic Acid","PEP",1.27220967818692e-74,-0.723645320197044
"249","Cystathionine","UDP-GlcNAc",1.41296119353098e-74,0.648768472906404
"250","Betaine","Palmitic Acid",1.66168596157748e-74,0.767487684729064
"251","3-(4-Hydroxyphenyl)Propionate","Indole-3-Carboxylic Acid",1.71678753939829e-74,0.599014778325123
"252","Biopterin","Citraconic Acid",1.71981132422472e-74,0.687684729064039
"253","DHAP/D-GA3P","Palmitic Acid",1.78288923958789e-74,-0.72807881773399
"254","Glucosamine","SAH",1.83884786398146e-74,0.633004926108374
"255","Glyceraldehyde","Oxalacetate",2.40785229455628e-74,-0.716256157635468
"256","Biopterin","Indole-2-Carboxylic Acid",2.91481378659153e-74,0.723645320197044
"257","Adipic Acid / 3-Methylglutaric Acid","N-AcetylGlycine",3.09021274117403e-74,0.754187192118226
"258","N-AcetylGlycine","S-Adenosylmethionine (SAM)",3.27841777359461e-74,-0.66551724137931
"259","3HBA","Pyridoxamine",4.49537766636644e-74,0.641379310344827
"260","Glucosamine","Oxalacetate",5.50666201248372e-74,-0.700985221674877
"261","Betaine","Cystathionine",7.82356263864587e-74,-0.703448275862069
"262","Cholecalciferol","Retinol",1.33672217626059e-73,0.818226600985221
"263","2-Hydroxyphenylacetate","Citraconic Acid",1.41470711958657e-73,0.738423645320197
"264","Betaine","UDP-GlcNAc",1.58930507057644e-73,-0.720197044334975
"265","Arginine","Maleic Acid",1.80278141358514e-73,0.710837438423645
"266","Indole-3-Carboxylic Acid","Palmitic Acid",1.89976465195025e-73,0.734482758620689
"267","Adipic Acid / 3-Methylglutaric Acid","Cholecalciferol",2.53815947754594e-73,0.720197044334975
"268","Adipic Acid / 3-Methylglutaric Acid","S-Adenosylmethionine (SAM)",2.69516945703478e-73,-0.771428571428571
"269","Azelaic Acid","D-Leucic Acid",2.97110033960097e-73,0.736453201970443
"270","Carnosine","IMP",3.04807972531605e-73,0.742857142857143
"271","S-Adenosylmethionine (SAM)","Urate",3.4602578741133e-73,-0.744827586206896
"272","Glutaric Acid","Phenylacetic Acid",3.75866236594121e-73,0.74384236453202
"273","Glyceraldehyde","SAH",4.25373425369277e-73,0.653694581280788
"274","Cadaverine","Glyceraldehyde",4.98595148373714e-73,-0.713793103448276
"275","Betaine","N-AcetylGlycine",5.38938131059818e-73,0.659113300492611
"276","Glycerophosphocholine","S-Adenosylmethionine (SAM)",6.26695149076824e-73,0.695073891625616
"277","2-isoPropylmalic Acid","Uridine",8.67689546385863e-73,-0.800492610837438
"278","Palmitic Acid","Phenylacetic Acid",1.41466793561604e-72,0.722660098522167
"279","3HBA","Phenylacetic Acid",1.98659734340582e-72,0.673891625615763
"280","Glycerophosphocholine","Phenylacetic Acid",2.17969105331422e-72,-0.676354679802955
"281","Arginine","Ergocalciferol",3.19064971590721e-72,0.724630541871921
"282","N-Ac-Alanine","Uridine",4.35353235201675e-72,-0.651724137931034
"283","Homocitrulline","N-Ac-Alanine",4.53493066996149e-72,-0.727093596059113
"284","1-Methylnicotinamide","Glyceraldehyde",4.66045034441216e-72,-0.704433497536946
"285","Ergocalciferol","PEP",4.90666266830946e-72,-0.670935960591133
"286","PEP","SAH",5.33418789768805e-72,0.675369458128079
"287","Hydrocinnamic Acid","UDP-GlcNAc",5.37535150945204e-72,-0.655172413793103
"288","Betaine","Methionine",8.94649604417748e-72,-0.572413793103448
"289","3HBA","Citraconic Acid",1.12257758309243e-71,0.677832512315271
"290","Cholecalciferol","Suberic Acid",1.15784021653975e-71,0.70935960591133
"291","Glutaric Acid","PEP",1.62286351065117e-71,-0.748768472906404
"292","Tryptophan","UDP-GlcNAc",1.83328461175473e-71,0.563054187192118
"293","Choline","UDP-GlcNAc",1.85323718468036e-71,-0.74384236453202
"294","Adipic Acid / 3-Methylglutaric Acid","Creatine",1.94502866283639e-71,0.757635467980295
"295","Azelaic Acid","S-Adenosylmethionine (SAM)",2.40396232576147e-71,-0.701970443349754
"296","2-Hydroxyglutarate","Urate",2.69147131421088e-71,-0.611330049261084
"297","Indole-3-Carboxylic Acid","N-Ac-Alanine",2.81804036416034e-71,0.618226600985222
"298","Betaine","Suberic Acid",3.16485710062778e-71,0.739901477832512
"299","Arginine","Glyceraldehyde",3.21275906647039e-71,-0.655172413793103
"300","Alanine","Indole-3-Carboxylic Acid",4.70555057935005e-71,0.683251231527093
"301","Alanine","Indole-2-Carboxylic Acid",5.7479101805052e-71,0.676354679802955
"302","Phenylacetic Acid","Retinol",5.80059785023474e-71,0.646305418719212
"303","Glutaric Acid","Pyridoxamine",6.30407930805187e-71,0.624137931034483
