"","rowname","colname","p_F","R_F"
"316","Arabitol/Xylitol","Hydrocinnamic Acid",1.59228244074464e-55,-0.550738916256158
"317","cAMP","Pyruvate",1.67584786821212e-55,0.711330049261084
"318","D-Leucic Acid","N-Ac-Alanine",1.95170400451419e-55,-0.613793103448276
"319","N-Acetyl-Aspartate (NAA)","Pyruvate",2.12353421971732e-55,-0.538916256157635
"320","Adenosine","Alpha-Ketoglutaric Acid",2.65672239792704e-55,-0.373891625615764
"321","Spermidine","Uracil",3.04964179738618e-55,0.547290640394089
"322","Alpha-Ketoglutaric Acid","Argininosuccinate",3.19171681394981e-55,0.419704433497537
"323","1/3-Methylhistidine","Pyridoxamine",3.20582691173689e-55,-0.706403940886699
"324","Alpha-Ketoglutaric Acid","SAH",4.20197238083321e-55,0.490147783251231
"325","Glucosamine","Reduced Glutathione",7.81995811130421e-55,0.617733990147783
"326","Pyruvate","SAH",7.85175074308951e-55,0.588177339901478
"327","Cholecalciferol","IMP",8.03978181502123e-55,-0.554679802955665
"328","Argininosuccinate","Aspartic Acid",8.77056235882002e-55,-0.47192118226601
"329","2-Aminoisobutyric Acid","Azelaic Acid",1.01539804480037e-54,-0.608866995073892
"330","Choline","PEP",1.10696237856849e-54,-0.65615763546798
"331","G1P/F1P/F6P","PEP",1.51857263267536e-54,0.674384236453202
"332","Carnosine","Cholecalciferol",1.55743836434601e-54,-0.566502463054187
