"","rowname","colname","p_M_all","R_M_all"
"213","1/3-Methylhistidine","Betaine",1.77305977812588e-83,-0.642966751918159
"214","2-Hydroxyphenylacetate","PEP",1.77305977812588e-83,-0.729813664596273
"215","2-Hydroxyphenylacetate","N-AcetylGlycine",2.10286057916033e-83,0.625027402265254
"216","D-Leucic Acid","Glutaric Acid",2.35029358989245e-83,0.660504201680672
"217","2-Hydroxyphenylacetate","Cholecalciferol",2.37830640302769e-83,0.781476068688345
"218","Palmitic Acid","Phenylacetic Acid",2.75935129989774e-83,0.653233467299964
"219","G6P","Taurine",4.27688875023618e-83,-0.701388381439532
"220","1-Methylnicotinamide","Maleic Acid",8.26362083893924e-83,0.717318231640482
"221","Arginine","Oxalacetate",8.62162732071653e-83,0.64643770551699
"222","Maleic Acid","Pyridoxamine",1.86917600597754e-82,0.680087687248813
"223","Betaine","Succinylcarnitine",2.34736650442885e-82,-0.543880160759956
"224","2-Hydroxyphenylacetate","Suberic Acid",2.93065719259291e-82,0.72130069419072
"225","1-Methylnicotinamide","Pyridoxamine",2.99474886988295e-82,0.682864450127877
"226","SAH","Succinylcarnitine",5.54932889860073e-82,0.545232005845817
"227","Glyceraldehyde","Urate",6.11664200622288e-82,-0.650931677018634
"228","PEP","SAH",6.13060972713796e-82,0.662805991962002
"229","2-Hydroxyphenylacetate","Choline",7.17562291309856e-82,0.656667884545122
"230","1/3-Methylhistidine","Cadaverine",9.51373479639716e-82,-0.703105590062112
"231","2-Hydroxyglutarate","Citraconic Acid",9.62364554063533e-82,-0.577237851662404
"232","Azelaic Acid","S-Adenosylmethionine (SAM)",1.2505071002862e-81,-0.697332846181951
"233","Maleic Acid","Oxalacetate",1.25673484179938e-81,0.683631713554987
"234","4-Guanidinobutanoate","Deoxycarnitine",1.3285767136319e-81,0.778553160394593
"235","3-Hydroxyisovaleric Acid","Glutaric Acid",1.55661987386864e-81,0.724808184143223
"236","2-Hydroxyglutarate","Arginine",2.92813193863054e-81,-0.625685056631348
"237","3HBA","Citraconic Acid",3.40638359892828e-81,0.669565217391304
"238","2-Hydroxyglutarate","Betaine",3.88406956176917e-81,-0.663390573620753
"239","Citraconic Acid","Glyceraldehyde",5.17534435621574e-81,-0.639934234563391
"240","Choline","Ergocalciferol",5.41235013480839e-81,0.556412130069419
"241","Arginine","SAH",5.86818210471784e-81,-0.62802338326635
"242","Betaine","Methionine",5.97373382949305e-81,-0.604640116916332
"243","Palmitic Acid","SAH",9.44632068765473e-81,-0.687687248812569
