"rowname","colname","p_means","R_means","pvalue","R_squared","p_F_all","R_F_all","p_F","R_F","p_M_all","R_M_all","p_M","R_M","p_SD","R_SD"
"3-Hydroxyisovaleric Acid","UDP-GlcNAc",1.05622291838211e-83,-0.721800116890707,2.8305011528907e-74,-0.653516845755383,1.01772507234036e-72,-0.650138272557721,3.2236914045145e-76,-0.725615763546798,1.07138618412456e-77,-0.66083302886372,4.85491778629855e-62,-0.604926108374384,0.000108458206451145,-0.724630541871921
"2-Hydroxyphenylacetate","Pyruvate",1.07947734097152e-94,-0.721000338367836,9.36031237640264e-84,-0.593467186095295,1.05502053135712e-76,-0.613608592192424,9.64897300694742e-97,-0.810837438423645,1.68162592411892e-45,-0.442309097552064,2.84744894593776e-42,-0.48128078817734,0.00207084844613501,-0.623152709359606
"Glutaric Acid","Succinylcarnitine",2.79816620218891e-93,-0.720754252668492,7.82047348616559e-88,-0.65251509054326,1.11418432711671e-64,-0.56592063798315,2.43740099785081e-70,-0.644334975369458,1.69907653640517e-72,-0.552356594811838,6.60065530598866e-62,-0.563546798029557,0.000113264073518667,-0.766502463054187
"Erythrose-4-Phosphate","Xanthine",3.19755881172086e-93,-0.720385124119474,9.19887990443105e-87,-0.69224281861381,2.18194182683526e-59,-0.71519068750402,7.42560852079611e-60,-0.726600985221675,1.53085187257339e-36,-0.524004384362441,5.28357097420798e-44,-0.58128078817734,0.0368717183974905,-0.46256157635468
"3-Hydroxyisovaleric Acid","G6P",1.80753190954217e-74,-0.720323602694638,1.16351897837661e-75,-0.67640738045293,5.085071494219e-35,-0.502894076789504,2.04823697539573e-23,-0.508866995073892,3.15558538647377e-46,-0.608586043112897,1.71898160772997e-38,-0.639901477832512,NA,NA
"G1P/F1P/F6P","Xanthine",7.9794547264152e-94,-0.719708388446276,5.18801653265123e-87,-0.685157755040884,5.82380510272193e-62,-0.702553218856518,1.35180426482074e-58,-0.72167487684729,2.36260741256369e-37,-0.52495432955791,3.28311168954461e-42,-0.564039408866995,NA,NA
"3HBA","PEP",2.39503056865287e-115,-0.719277738472423,1.04161191202915e-92,-0.587503745879532,1.5598811699689e-38,-0.388835294874268,6.00700532492768e-36,-0.41871921182266,4.34811107053684e-74,-0.560284983558641,3.22486459653932e-76,-0.654187192118227,0.0245552356436041,-0.53448275862069
"Maleic Acid","UDP-GlcNAc",9.74615261478351e-104,-0.718847088498569,8.93694917359644e-100,-0.670730767584229,5.60083012448647e-68,-0.680558235256287,3.15904639308129e-48,-0.601970443349754,2.29921214449549e-103,-0.69386189258312,1.46466241209548e-82,-0.719704433497537,5.26900839253048e-06,-0.834975369458128
"Cadaverine","SAH",5.05177467229041e-68,-0.718724045648897,4.27491270251454e-67,-0.670799263667109,6.04598172293155e-27,-0.441796900122194,3.73800678086372e-25,-0.481773399014778,6.55249129816494e-114,-0.818304713189624,5.01455055780402e-126,-0.867487684729064,4.90183659205136e-09,-0.918226600985221
"Oxalacetate","SAH",9.28950466721836e-68,-0.718601002799225,1.70799532067807e-65,-0.661916177918575,3.83026709865944e-29,-0.487169592899865,1.15410813140845e-25,-0.486206896551724,1.55162729242671e-104,-0.779576178297406,6.67294325501912e-121,-0.845812807881773,2.84445444649405e-08,-0.915763546798029
"Oxalacetate","PEP",2.86028461739414e-96,-0.718047309975699,1.36543896393524e-99,-0.735540905004495,6.05720911430772e-24,-0.375265290372371,4.11757493418191e-16,-0.225615763546798,5.565089110572e-103,-0.775228352210449,8.78495252087899e-86,-0.768965517241379,0.00747280137327386,-0.606403940886699
"1-Methylnicotinamide","PEP",2.05057796877699e-93,-0.715832538681596,5.98878522628944e-98,-0.744419709747849,1.1637081193689e-22,-0.401537076339314,7.93364587546882e-16,-0.276847290640394,1.42201979810523e-108,-0.807563025210084,2.3217736088457e-79,-0.746305418719212,0.0106730125731859,-0.601970443349754
"Cadaverine","PEP",1.33543219924174e-94,-0.7109108246947,7.86603954878434e-102,-0.752331007320519,2.11311724717641e-24,-0.414142388578044,1.12543540403887e-14,-0.199014778325123,2.50111056780391e-104,-0.787029594446474,2.27435268225752e-79,-0.747783251231527,0.00746114087820202,-0.603448275862069
"Choline","Succinylcarnitine",1.39528519029229e-84,-0.710541696145683,1.37323514167918e-84,-0.65529774391027,2.29386841738324e-51,-0.557785066563766,8.11307289364237e-49,-0.626600985221675,9.78360775253404e-76,-0.483193277310924,1.92000431190318e-48,-0.508374384236453,7.2304290131599e-05,-0.757635467980295
"Aspartic Acid","Pyruvate",1.74481283115976e-74,-0.71041865329601,4.79175672240444e-70,-0.633948371077529,1.66354684587772e-71,-0.614991317769631,1.14262437439911e-71,-0.692118226600985,1.93319849950856e-39,-0.556448666423091,1.15766038610182e-26,-0.561083743842364,0.00429326564235964,-0.554187192118227
"Imidazoleacetic Acid","Urate",1.31628580250422e-90,-0.710111046171829,3.49101439688956e-94,-0.678338113789118,6.03285901420412e-29,-0.438356164383562,3.62105844312971e-05,-0.284729064039409,2.07984415089643e-61,-0.592583120204604,4.83002049637155e-54,-0.645320197044335,0.0040055897261871,-0.680788177339901
"1/3-Methylhistidine","Arginine",2.0957309643543e-96,-0.709926481897321,4.19384011618244e-94,-0.688552592148636,4.71851589690386e-29,-0.333944305100006,1.93578847441815e-11,-0.173399014778325,1.57086748235447e-53,-0.476032151991231,2.17315724238067e-42,-0.50295566502463,0.00012243608308965,-0.699507389162561
"Betaine","Succinylcarnitine",3.40987172600491e-111,-0.70863453197576,6.07961173267069e-103,-0.633841345948029,2.41300415033886e-60,-0.464370699080327,1.6404688621074e-68,-0.57487684729064,2.34736650442885e-82,-0.543880160759956,4.93629346692558e-67,-0.508374384236453,3.97159601104743e-07,-0.87192118226601
