"COMPOUND","TAG_R_spearman","TAG_p","TAG_adj","sig_TAG"
"7-Methylguanine",0.0454950936663693,0.733901196329412,0.798657184240831,"NS"
"Glycerophosphocholine",0.0446337937186625,0.738760035822282,0.799243313608902,"NS"
"UDP-Glucose",0.0429727152480852,0.74815942870214,0.804706362266837,"NS"
"3-Aminoisobutyrate",-0.0408194653788182,0.760398444195048,0.813142844948462,"NS"
"Guanosine",-0.0362668799409394,0.786466151310396,0.836185275818524,"NS"
"2-Hydroxyglutarate",0.0330062444246209,0.80528334789008,0.851299539198084,"NS"
"Sucrose",0.0282075732873973,0.833175793924257,0.875781374295384,"NS"
"Xanthosine",-0.0267310590913286,0.841801367749247,0.879848887195541,"NS"
"Aminolevulinate",-0.0152880740717955,0.909205204724124,0.944960465584062,"NS"
"Sorbitol",0.0117813528561321,0.930012989759063,0.95772514119248,"NS"
"Argininosuccinate",0.0114737457319512,0.931840677917008,0.95772514119248,"NS"
"Reduced Glutathione",0.010489402934572,0.937691600775925,0.958414067091415,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",-0.00741333169276201,0.955995584400345,0.971753753373977,"NS"
"Proline",-0.00532160324833123,0.968455875762361,0.979040092983807,"NS"
"Pseudouridine",-0.00199944630717647,0.98826006873477,0.993631047369198,"NS"
"5-Methylcytidine",-0.000522932111107693,0.997064919884842,0.997064919884842,"NS"
