"COMPOUND","TAG_R_spearman","TAG_p","TAG_adj","sig_TAG","mass_R_spearman","mass_p","mass_adj","sig_mass","rTAG_R_spearman","rTAG_p","rTAG_adj","sig_rTAG"
"iso-Leucine /allo-isoLeucine",-0.405272386108462,0.00173599736767163,0.00805695097148849,"SIG",-0.321629064246697,0.0200679879573992,0.0424813308420479,"NS",-0.135575855886622,0.336867481711593,0.662983873581327,"NS"
"isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",0.108493032698637,0.416526615570566,0.517163918661441,"NS",0.261435676857815,0.0611905553850869,0.106794837228689,"NS",-0.136856484248271,0.33228995983087,0.662983873581327,"NS"
"Kynurenic Acid",0.510227936879018,5.47130427511426e-05,0.000843492742413449,"SIG",0.597920981396236,2.86007116901786e-06,4.81011969334822e-05,"SIG",-0.117817809271749,0.404376338674573,0.729386174170189,"NS"
"L-2-Aminobutyric Acid",0.388230951428835,0.00277765357196812,0.0116481330095229,"NS",0.390872804916746,0.00416945991068588,0.0118669243611829,"NS",-0.0133185349611543,0.925307914813206,0.951010912446906,"NS"
"L-Kynurenine",0.421883170814236,0.00107338252412835,0.00536691262064173,"SIG",0.512540290064487,0.000102498879531751,0.000592571647292937,"SIG",-0.0771792025954068,0.58554602370061,0.790700834924181,"NS"
"Lactate",-0.290165800239934,0.0274950740501963,0.0554257671225167,"NS",-0.202096096382249,0.150779792961414,0.221383029348108,"NS",-0.0890463587466917,0.529069452582602,0.76707252583253,"NS"
"Lactose/Trehalose",-0.236334553508259,0.0742238778466169,0.127142753718742,"NS",-0.160344938321024,0.256156677922574,0.338492752969115,"NS",-0.195423887987706,0.164614798886492,0.53459864609592,"NS"
"Leucine /D-Norleucine",-0.0515241933003168,0.70019080310633,0.771043443896852,"NS",0.0341949668783654,0.80981899549215,0.86101444923016,"NS",-0.160078545206181,0.256139806935926,0.662983873581327,"NS"
"Linoleic Acid",-0.387492694330801,0.00283332965096503,0.0116481330095229,"NS",-0.577088092711289,7.52111960938331e-06,9.9386223409708e-05,"SIG",0.234867241526509,0.0937737027935737,0.53459864609592,"NS"
"Linolenic Acid",-0.394444615337291,0.00234640866519545,0.0100950140246781,"NS",-0.512881812829814,0.000101229193003466,0.000592571647292937,"SIG",-0.00554938956714761,0.968981667070309,0.973308099801291,"NS"
"Lysine",0.235042603586699,0.0758554957041383,0.127575151866051,"NS",0.163930927356958,0.245535066470925,0.326791275518857,"NS",0.188337744386579,0.180697565838691,0.540974273513027,"NS"
"Maleic Acid",-0.499154080408502,8.28840024558845e-05,0.00102223603028924,"SIG",-0.503916840239981,0.000139804348924638,0.000783751653062362,"SIG",0.143430376504738,0.30941397733976,0.662983873581327,"NS"
"Margaric Acid",-0.314405241625396,0.0165848189431402,0.0393357885189863,"NS",-0.349292408238184,0.0111471549059612,0.0281272175760271,"NS",-0.0875949799368223,0.535828545972931,0.76707252583253,"NS"
"Methionine",0.376234273585776,0.00381491728755099,0.0138129228080451,"NS",0.326495763652607,0.0181618662691355,0.0399993483308342,"NS",-0.0103304021173056,0.942086547118594,0.96290613932011,"NS"
"Myristic Acid",-0.313297855978344,0.016986384425694,0.0397782420095366,"NS",-0.53465388911941,4.44629549025868e-05,0.000357636811172981,"SIG",0.166993938359088,0.235960282426463,0.651532123117846,"NS"
"N-Ac-Alanine",-0.0699190993263404,0.601087650742643,0.682216045321405,"NS",-0.204870968850531,0.145133784614537,0.214798001229515,"NS",0.271237086997353,0.0520798559330045,0.533124095945809,"NS"
"N-Ac-Arginine",-0.198498877233997,0.135028530223922,0.211697271961234,"NS",-0.280262119296465,0.0441778583133169,0.0793485804656664,"NS",0.0932297447280799,0.509827620971339,0.76707252583253,"NS"
"N-Ac-L-Glutamine",0.180596142606663,0.174476121156291,0.254158129243415,"NS",0.16649234809691,0.238134156012283,0.323932491634355,"NS",-0.112951421497481,0.42416981155136,0.737233003253975,"NS"
"N-Ac-Phenylalanine",-0.195976498815713,0.14013644125999,0.217859173387379,"NS",-0.133321949514526,0.346068240213124,0.438511126297452,"NS",0.0244173140954495,0.863328065386012,0.925708926756164,"NS"
"N-Acetyl-Aspartate (NAA)",-0.233381525116122,0.0779952576225189,0.129992096037532,"NS",-0.247006340022749,0.0775038654233987,0.130347410030261,"NS",0.0437121147443012,0.75771776821105,0.865294982216323,"NS"
"N-AcetylGlycine",-0.0973576548032853,0.466164074903104,0.571128171238902,"NS",0.0115690836754519,0.93512343341236,0.965764997105109,"NS",-0.0191240502006318,0.892808585013392,0.932597802682132,"NS"
"n-Glycylproline",0.0859761912085884,0.520053390648333,0.613154803070257,"NS",0.289141711194967,0.0376191105412872,0.0702983378801831,"NS",-0.317937334585503,0.0220337481744981,0.490862039774034,"NS"
"N2,N2-Dimethylguanosine",0.300809006736596,0.0221245533693185,0.045989240149707,"NS",0.232961216298676,0.0965076942280399,0.153913133036098,"NS",0.0468709980363698,0.740787225795195,0.865294982216323,"NS"
"N6-Acetyl-Lysine",0.422559906487434,0.00105204992247785,0.00536691262064173,"SIG",0.409485795627067,0.00257442739372251,0.00807235708201127,"SIG",0.159907794757961,0.256652446222858,0.662983873581327,"NS"
"N6-Trimethyllysine",0.364176074317881,0.00519099309071931,0.0177839578107976,"NS",0.406155948665129,0.00281199343463537,0.00867031309012571,"SIG",-0.0309058311278067,0.827446864248286,0.905785028910846,"NS"
"NAD",0.187732627887662,0.157847333245381,0.237150527817002,"NS",0.314414395829165,0.0232035447231289,0.0461575889653639,"NS",-0.319986339964142,0.0211571189883544,0.490862039774034,"NS"
"NADH",-0.216032483312314,0.103332671876477,0.166230819975203,"NS",-0.139981643438402,0.322287493556839,0.41119438833114,"NS",-0.134295227524972,0.341484430730074,0.664995996684881,"NS"
"Neopterin",-0.330154726383463,0.0116977735714017,0.0332936632416818,"NS",-0.337082969377744,0.0145400858635793,0.0336546144212367,"NS",-0.0478955007256894,0.735322047646948,0.865294982216323,"NS"
"Niacinamide",-0.205881448214341,0.120887722740723,0.191147253906272,"NS",-0.167516916392891,0.235217004820223,0.322334414012898,"NS",0.0455049944506104,0.748094023099165,0.865294982216323,"NS"
"Nicotinic Acid",-0.143006552031745,0.283379265695875,0.374465458240978,"NS",-0.332344341008832,0.0160765874098911,0.0362703496442664,"NS",0.230342354648681,0.100414781333211,0.53459864609592,"NS"
"o-Phosphoethanolamine",-0.118090374973084,0.376309356451934,0.470386695564918,"NS",-0.143567632474335,0.309921650686117,0.398163231784248,"NS",-0.1173909331512,0.406090680754213,0.729386174170189,"NS"
"Ornithine",0.135377895352056,0.310053373535702,0.395585338648999,"NS",0.244231467554467,0.0810027882838409,0.132615184358501,"NS",-0.0440536156407411,0.755881790758447,0.865294982216323,"NS"
