"COMPOUND","TAG_R_spearman","TAG_p","TAG_adj","sig_TAG","mass_R_spearman","mass_p","mass_adj","sig_mass","rTAG_R_spearman","rTAG_p","rTAG_adj","sig_rTAG"
"Creatine",-0.113398768039621,0.183791724736285,0.251862733897873,"NS",-0.219779252463201,0.0216609674702823,0.0371044350185391,"NS",0.0977110555092206,0.311606634865868,0.510152455311377,"NS"
"Cystathionine",-0.271947914464092,0.00120149492906296,0.00331756062502459,"SIG",-0.278404352127227,0.00337543867580055,0.0075269379881004,"SIG",-0.0927810212213882,0.336738616955729,0.546461790673771,"NS"
"Cysteinyl-Glycine (Cys-Gly)",0.307077536363587,0.000236043796206528,0.000839771198042456,"SIG",0.343567549769907,0.000254599005830989,0.00074763200124973,"SIG",-0.062904272078584,0.515237350348617,0.68574755262226,"NS"
"Cystine",0.0667246090699304,0.435133111595617,0.494265128937423,"NS",-0.022528867733678,0.816129411176745,0.853016616201683,"NS",0.0536187563710499,0.579215360787102,0.73899890859044,"NS"
"Cytidine",-0.186687698749233,0.0277697766761118,0.0488420455034955,"NS",-0.238388041607267,0.0125514193250722,0.0236940058687587,"NS",0.109637661013808,0.255996681689614,0.462051556786149,"NS"
"D-Leucic Acid",-0.125696258272708,0.140371475340032,0.201307929751209,"NS",-0.187681871387267,0.0506694010810416,0.0749907135999416,"NS",0.178546937262534,0.0633173887480221,0.255764071141685,"NS"
"DCDP",0.0758092012370325,0.375087762037006,0.450592441408092,"NS",-0.0156015420936433,0.872080173545956,0.896304622811121,"NS",0.0912519692336206,0.344788267329866,0.554659386574132,"NS"
"Deoxycarnitine",0.270039837309467,0.00130482653876603,0.0035498957304664,"SIG",0.274020907274067,0.00393553984737736,0.00856558672664485,"SIG",-0.00519877675840979,0.957178793757134,0.989262999134468,"NS"
"Deoxyguanosine",0.408522893657021,5.95985283334783e-07,7.35048516112899e-06,"SIG",0.386725483556719,3.27006963303035e-05,0.000123461812675636,"SIG",0.0257066073579835,0.79045126471106,0.883016832890366,"NS"
"DHAP/D-GA3P",0.145581371476645,0.0872654481820636,0.130194418658724,"NS",0.215585787778096,0.0243617083024005,0.0406028471706676,"NS",-0.117468260587527,0.223433180841304,0.426135447996302,"NS"
"Dimethylarginine (A/SDMA)",0.0719818755158702,0.399741316412685,0.474052202156069,"NS",0.122676218274193,0.203793590704757,0.265505734368873,"NS",-0.0665554628857381,0.49111410817605,0.668059632445363,"NS"
"Dimethylglycine",-0.238134284887869,0.00475859099147678,0.010236503877014,"NS",-0.21089188752836,0.0277210666403995,0.0453840471546364,"NS",-0.168288388471875,0.0802819849695054,0.270039403988336,"NS"
"Ergocalciferol",-0.311809746449647,0.000186537103471998,0.00070427273759836,"SIG",-0.447278186877102,1.08290064087861e-06,6.46247156653367e-06,"SIG",0.179445834491706,0.0619823333205105,0.255764071141685,"NS"
"Erythrose-4-Phosphate",0.443292796092939,4.62758043005172e-08,1.42683729926595e-06,"SIG",0.563902841749365,1.71706909882569e-10,5.29429638804588e-09,"SIG",-0.179909183578908,0.0613032130587108,0.255764071141685,"NS"
"Ethanolamine",-0.272980152924791,0.00114876417835189,0.00322002080295604,"SIG",-0.477350657381333,1.53611653992988e-07,1.18408983286262e-06,"SIG",0.231674543601149,0.0155261766517691,0.151175930556699,"NS"
"FAD",-0.273181238339213,0.00113874150516556,0.00322002080295604,"SIG",-0.261658295362621,0.00598955763616341,0.0123118684743359,"NS",-0.00365119080715411,0.96993005068532,0.994099787323673,"NS"
"Fructose",0.37203706235137,6.49496476299102e-06,5.46167491433336e-05,"SIG",0.422803180836525,4.65006902700577e-06,2.26384939472649e-05,"SIG",0.0508293948660921,0.599130091020137,0.751915414405727,"NS"
"G1P/F1P/F6P",0.423597596891511,2.03842015141651e-07,3.14256440010045e-06,"SIG",0.543987359742095,9.75727152889842e-10,2.57870747549458e-08,"SIG",-0.18639607079974,0.0524193250238173,0.251317508698413,"NS"
"G6P",0.419347991800063,2.77301953149429e-07,3.9462201025111e-06,"SIG",0.541953181845121,1.15783577729087e-09,2.67749523498515e-08,"SIG",-0.168992679084422,0.0790110664965563,0.270039403988336,"NS"
"gamma-Aminobutyrate",0.0222110011640831,0.795225435998094,0.826498346402514,"NS",-0.042949418968215,0.657447349489965,0.716776861965892,"NS",-0.0248725790010194,0.797101681582114,0.883016832890366,"NS"
"Glucoronate",-0.249115782797684,0.00310367711759418,0.00726810464246738,"SIG",-0.20469668058473,0.0327511530332257,0.0519392371204852,"NS",-0.0561579093689185,0.561358909772027,0.731347875407218,"NS"
"Glucosamine",0.348425166133481,2.63094783483109e-05,0.00018026864794213,"SIG",0.525985580403275,4.26765773265911e-09,6.03038487100811e-08,"SIG",-0.2483273097952,0.00937806465013786,0.123924425733965,"NS"
"Glucose",0.286061876274122,0.000640658088470812,0.00197536243945167,"SIG",0.442565751976824,1.44645061700686e-06,7.87039306312556e-06,"SIG",-0.234945788156797,0.0140969973550724,0.151175930556699,"NS"
"Glutamic acid",-0.104618038276534,0.220327862736765,0.293242119469795,"NS",-0.183201119618763,0.056546999838224,0.0823716139375704,"NS",0.083069224353628,0.389903572933017,0.589715581806491,"NS"
"Glutamine",0.300090935353619,0.000331748499264863,0.00113654578451851,"SIG",0.400617204137872,1.58471772161038e-05,6.66301769313454e-05,"SIG",-0.144861458622926,0.132726986709915,0.341034618629643,"NS"
