"KEGG.id","Entry.type","KEGG.name","p.score"
"R04301","reaction","S-adenosyl-L-methionine:catechol O-methyltran...",0.000490938864628777
"R04305","reaction","4-hydroxyphenylacetaldehyde hydro-lyase (addi...",0.000290957059679745
"R04313","reaction","N6,N6,N6-Trimethyl-L-lysine + 2 Protein <=> P...",0.000290957059679745
"R04379","reaction","5-carboxymethyl-2-hydroxymuconate delta2,delt...",0.0023907660116448
"R04380","reaction","5-oxopent-3-ene-1,2,5-tricarboxylate carboxy-...",0.000990893377001467
"R04400","reaction","(S)-tetrahydrocolumbamine,[reduced NADPH---he...",0.000890902474526952
"R04427","reaction","S-adenosyl-L-methionine:zymosterol C-methyltr...",0.00419060225618631
"R04460","reaction","N-hydroxy-L-tyrosine,[reduced NADPH-hemoprote...",0.00989008369723438
"R04496","reaction","S-adenosyl-L-methionine:protein-C-terminal-S-...",0.00149084788937405
"R04674","reaction","N-methylhistamine:oxygen oxidoreductase (deam...",0.000590929767103293
"R04688","reaction","2,5-diaminohexanoate:NADP+ oxidoreductase (de...",0.0116899199417759
"R04690","reaction","(S)-cheilanthifoline,[reduced NADPH---hemopro...",0.00139085698689953
"R04691","reaction","Stylopine + S-Adenosyl-L-methionine <=> (S)-c...",0.00109088427947598
"R04692","reaction","S-adenosyl-L-methionine:(S)-coclaurine-N-meth...",0.00109088427947598
"R04700","reaction","(S)-cis-N-methylstylopine,[reduced NADPH---he...",0.00179082059679771
"R04701","reaction","6-Hydroxyprotopine <=> Dihydrosanguinarine + ...",0.0106900109170306
"R04702","reaction","dihydrosanguinarine,[reduced NADPH---hemoprot...",0.0023907660116448
"R04703","reaction","dihydrosanguinarine:oxygen oxidoreductase",0.0058904475982533
"R04705","reaction","S-adenosyl-L-methionine:12-hydroxydihydrochel...",0.000990893377001467
"R04707","reaction","S-adenosyl-L-methionine:10-hydroxydihydrosang...",0.000990893377001467
"R04708","reaction","dihydrochelirubine,[reduced NADPH---hemoprote...",0.000890902474526952
"R04768","reaction","dihydromacarpine:oxygen oxidoreductase",0.000890902474526952
"R04772","reaction","S-adenosyl-L-methionine:L-methionine S-methyl...",0.00149084788937405
"R04858","reaction","S-adenosyl-L-methionine:DNA (cytosine-5-)-met...",0.00199080240174674
"R04866","reaction","S-adenosyl-L-methionine:cytochrome-c-L-lysine...",9.09752547307133e-05
"R04867","reaction","S-adenosyl-L-methionine:cytochrome-c-L-lysine...",9.09752547307133e-05
"R04875","reaction","Hydantoin-5-propionate + H2O <=> N-Carbamyl-L...",0.00749030203784567
"R04879","reaction","Formylisoglutamine + H2O <=> Isoglutamine",0.0128898107714702
